               0,                1,                0,                0
             -81,                1,               -1,                0
            -326,                8,              -82,                2
            6158,             -153,               80,               -2
            1540,              -39,               39,               -1
           -2350,               61,              -39,                1
             487,              -13,               37,               -1
           -1864,               51,              -37,                1
             893,              -25,               71,               -2
           -2999,               85,              -71,                2
           -2593,               75,              -35,                1
             568,              -17,               33,               -1
            -163,                5,              -33,                1
             973,              -31,               31,               -1
           -1378,               45,              -31,                1
            2026,              -69,               29,               -1
            -487,               17,              -29,                1
              82,               -3,               27,               -1
           -2107,               79,              -27,                1
           -4214,              160,              -53,                2
            2027,              -79,               51,               -2
           -1622,               64,              -51,                2
            -568,               23,              -25,                1
            -974,               40,              -49,                2
            2270,              -96,               47,               -2
             163,               -7,               23,               -1
            -568,               25,              -23,                1
           -2594,              116,              -45,                2
            1298,              -60,               43,               -2
            1297,              -61,               21,               -1
            -892,               43,              -21,                1
            -326,               16,              -41,                2
            1300,              -64,               81,               -4
           -5269,              261,              -81,                4
            2271,             -115,               59,               -3
             569,              -29,               39,               -2
            1135,              -59,               19,               -1
            -244,               13,              -19,                1
           -1379,               75,              -37,                2
           -2757,              151,              -55,                3
             408,              -23,               53,               -3
            -651,               37,              -53,                3
             568,              -33,               17,               -1
            -487,               29,              -17,                1
            -164,               10,              -33,                2
            -732,               45,              -49,                3
            2030,             -125,               81,               -5
           -4541,              281,              -81,                5
            4945,             -313,               63,               -4
            3162,             -201,               47,               -3
            1622,             -104,               31,               -2
           -1217,               79,              -31,                2
            2677,             -175,               61,               -4
           -3892,              256,              -61,                4
            -163,               11,              -15,                1
             569,              -39,               29,               -2
            -245,               17,              -29,                2
           -1299,               91,              -43,                3
            -895,               63,              -57,                4
            1462,             -106,               55,               -4
            2676,             -195,               41,               -3
             326,              -24,               27,               -2
           -1865,              139,              -27,                2
             487,              -37,               13,               -1
            -244,               19,              -13,                1
             893,              -71,               25,               -2
           -1379,              111,              -25,                2
            -651,               53,              -37,                3
           -3163,              259,              -49,                4
            -572,               47,              -61,                5
            2354,             -199,               59,               -5
            2758,             -234,               47,               -4
             246,              -21,               35,               -3
            -732,               63,              -35,                3
            3976,             -343,               81,               -7
           -2599,              225,              -81,                7
           -1703,              149,              -23,                2
            3487,             -309,               45,               -4
             568,              -51,               11,               -1
            -163,               15,              -11,                1
           -2272,              212,              -43,                4
            3326,             -313,               53,               -5
           -1787,              169,              -53,                5
            -407,               39,              -21,                2
            -813,               79,              -31,                3
           -1543,              151,              -41,                4
           -3083,              303,              -51,                5
           -2922,              288,              -61,                6
           -4388,              433,             -142,               14
           -1385,              137,              -81,                8
            2518,             -255,               69,               -7
            2355,             -239,               59,               -6
             167,              -17,               49,               -5
            2758,             -282,               39,               -4
             165,              -17,               29,               -3
           -1704,              177,              -29,                3
             650,              -68,               19,               -2
            -812,               86,              -19,                2
            -572,               61,              -47,                5
             733,              -79,               37,               -4
              82,               -9,                9,               -1
            -649,               73,               -9,                1
            2677,             -305,               35,               -4
            2680,             -307,               61,               -7
           -4219,              485,              -61,                7
            3164,             -367,               43,               -5
             650,              -76,               17,               -2
            -245,               29,              -17,                2
            1866,             -223,               25,               -3
           -1137,              137,              -25,                3
           -1867,              227,              -33,                4
           -3002,              367,              -41,                5
            -978,              120,              -49,                6
           -4300,              529,              -57,                7
           -5192,              640,              -65,                8
           -2610,              322,             -146,               18
             974,             -121,               16,               -2
            2520,             -319,               71,               -9
            3005,             -381,               63,               -8
            1708,             -217,               55,               -7
             573,              -73,               47,               -6
              86,              -11,               39,               -5
            2029,             -261,               31,               -4
             408,              -53,               23,               -3
             -84,               11,              -23,                3
              83,              -11,               15,               -2
            -164,               22,              -15,                2
           -2030,              275,              -37,                5
           -1636,              222,             -118,               16
             654,              -89,               44,               -6
            2518,             -345,               51,               -7
            2029,             -279,               29,               -4
            -571,               79,              -29,                4
            3246,             -452,               43,               -6
             163,              -23,                7,               -1
            -325,               47,               -7,                1
           -3246,              476,              -41,                6
            1300,             -192,               27,               -4
            -895,              133,              -27,                4
           -1870,              279,              -47,                7
            4220,             -636,               53,               -8
              86,              -13,               33,               -5
           -1139,              173,              -33,                5
             569,              -87,               13,               -2
            -407,               63,              -13,                2
