               0,                1,                0,                0
             -74,                1,               -1,                0
            2591,              -71,               36,               -1
            1703,              -48,               35,               -1
            1999,              -58,               34,               -1
            1037,              -31,               33,               -1
             519,              -16,               32,               -1
            1037,              -33,               31,               -1
            1703,              -56,               30,               -1
            1999,              -68,               29,               -1
            1703,              -60,               28,               -1
            1259,              -46,               27,               -1
            1555,              -59,               26,               -1
             963,              -38,               25,               -1
            -298,               12,              -50,                2
            6072,             -247,               98,               -4
            1703,              -70,               24,               -1
            1112,              -47,               47,               -2
            1259,              -54,               23,               -1
           -1407,               62,              -23,                1
             223,              -10,               22,               -1
           -1259,               58,              -22,                1
             149,               -7,               21,               -1
            2518,             -122,               41,               -2
             223,              -11,               20,               -1
            2667,             -135,               59,               -3
           -2741,              140,              -59,                3
             963,              -50,               19,               -1
             -75,                4,              -19,                1
            1259,              -69,               18,               -1
            3851,             -217,               53,               -3
            -299,               17,              -53,                3
             741,              -43,               17,               -1
            -889,               53,              -17,                1
             519,              -32,               16,               -1
            -963,               61,              -16,                1
             593,              -39,               15,               -1
            -298,               20,              -30,                2
            4004,             -271,              118,               -8
            2593,             -176,               44,               -3
            2000,             -137,               29,               -2
           -2074,              144,              -29,                2
             667,              -47,               14,               -1
            -815,               59,              -14,                1
           -1483,              109,              -41,                3
           -1408,              105,              -27,                2
             593,              -45,               13,               -1
            -667,               52,              -13,                1
            1334,             -106,               25,               -2
            -298,               24,              -25,                2
             815,              -67,               12,               -1
            1337,             -113,               59,               -5
             448,              -38,               47,               -4
            2297,             -196,               35,               -3
            1482,             -128,               23,               -2
            -594,               52,              -23,                2
             223,              -20,               11,               -1
            -445,               41,              -11,                1
            -669,               63,              -32,                3
            3633,             -343,               74,               -7
           -1857,              176,              -74,                7
           -1408,              135,              -21,                2
           -1039,              101,              -31,                3
             223,              -22,               10,               -1
            3410,             -346,               59,               -6
            1189,             -121,               49,               -5
            1262,             -129,               39,               -4
            1039,             -107,               29,               -3
            1186,             -124,               19,               -2
           -1038,              110,              -19,                2
            -669,               72,              -28,                3
             593,              -65,                9,               -1
            2893,             -326,               62,               -7
            1930,             -218,               53,               -6
            2003,             -227,               44,               -5
             -79,                9,              -44,                5
           -2372,              272,              -35,                4
           -1113,              129,              -26,                3
             890,             -104,               17,               -2
             -76,                9,              -17,                2
            1557,             -186,               25,               -3
           -1261,              152,              -25,                3
             527,              -64,               74,               -9
            4746,             -578,               82,              -10
             519,              -64,                8,               -1
            -371,               47,               -8,                1
            2224,             -286,               31,               -4
              77,              -10,               23,               -3
           -1557,              204,              -23,                3
            -523,               69,              -38,                5
           -3189,              422,              -53,                7
            -298,               40,              -15,                2
             965,             -131,               22,               -3
           -1409,              193,              -22,                3
            -448,               62,              -29,                4
             149,              -21,                7,               -1
            -297,               43,               -7,                1
             596,              -88,               27,               -4
            -748,              111,              -54,                8
           -2009,              299,              -74,               11
             817,             -122,               20,               -3
           -1261,              190,              -20,                3
             890,             -136,               13,               -2
            -594,               92,              -13,                2
             299,              -47,               19,               -3
           -1261,              200,              -19,                3
           -1857,              296,              -44,                7
           -1632,              262,              -25,                4
           -1855,              300,              -31,                5
             371,              -61,                6,               -1
            1343,             -227,               65,              -11
             898,             -152,               59,              -10
             749,             -127,               53,               -9
            1636,             -278,               47,               -8
            1561,             -266,               41,               -7
             228,              -39,               35,               -6
            1041,             -179,               29,               -5
             300,              -52,               23,               -4
            -596,              104,              -23,                4
            -673,              118,              -40,                7
            1567,             -275,               74,              -13
           -3935,              692,              -74,               13
            -299,               53,              -17,                3
            1707,             -304,               28,               -5
            2819,             -505,               39,               -7
             742,             -134,               11,               -2
