               0,                1,                0,                0
             -18,                1,               -1,                0
             127,              -15,                8,               -1
              37,               -5,                7,               -1
              19,               -3,                6,               -1
             -91,               16,               -6,                1
              37,               -7,                5,               -1
             -19,                4,               -5,                1
              55,              -13,                4,               -1
             -19,                5,               -4,                1
             131,              -36,               18,               -5
            -203,               57,              -18,                5
             -92,               27,               -7,                2
              19,               -6,                3,               -1
             -37,               13,               -3,                1
             -21,                8,               -8,                3
             241,              -93,               18,               -7
             -97,               38,              -18,                7
             -56,               23,               -5,                2
             -39,               17,               -7,                3
              19,               -9,                2,               -1
             -19,               10,               -2,                1
              94,              -53,                7,               -4
              39,              -23,                5,               -3
            -114,               69,              -10,                6
              88,              -54,               26,              -16
             131,              -81,                8,               -5
              20,              -13,                3,               -2
             -38,               26,               -3,                2
              41,              -29,                7,               -5
             -46,               33,              -14,               10
             160,             -116,               22,              -16
              57,              -42,                4,               -3
             -21,               16,               -4,                3
              76,              -60,                5,               -4
             -58,               47,               -5,                4
              23,              -19,                6,               -5
             -95,               80,               -6,                5
             -96,               83,               -7,                6
             -25,               22,               -8,                7
               1,               -1,                1,               -1
             135,             -151,                8,               -9
              44,              -50,                7,               -8
              25,              -29,                6,               -7
             -97,              114,               -6,                7
              42,              -50,                5,               -6
             -24,               29,               -5,                6
              59,              -73,                4,               -5
             -23,               29,               -4,                5
             149,             -190,               18,              -23
            -221,              283,              -18,               23
             -99,              128,               -7,                9
              22,              -29,                3,               -4
             -40,               54,               -3,                4
             -29,               40,               -8,               11
             259,             -359,               18,              -25
            -115,              160,              -18,               25
             -61,               86,               -5,                7
             -46,               66,               -7,               10
              21,              -31,                2,               -3
             -21,               32,               -2,                3
             101,             -158,                7,              -11
              44,              -70,                5,               -8
            -124,              199,              -10,               16
             114,             -184,               26,              -42
             139,             -225,                8,              -13
              23,              -38,                3,               -5
             -41,               69,               -3,                5
              48,              -82,                7,              -12
             -60,              103,              -14,               24
             182,             -314,               22,              -38
              61,             -106,                4,               -7
             -25,               44,               -4,                7
              81,             -145,                5,               -9
             -63,              114,               -5,                9
              29,              -53,                6,              -11
            -101,              186,               -6,               11
            -103,              192,               -7,               13
             -33,               62,               -8,               15
               2,               -4,                1,               -2
             143,             -303,                8,              -17
              51,             -109,                7,              -15
              31,              -67,                6,              -13
            -103,              224,               -6,               13
              47,             -103,                5,              -11
             -29,               64,               -5,               11
              63,             -141,                4,               -9
             -27,               61,               -4,                9
             167,             -380,               18,              -41
            -239,              545,              -18,               41
            -106,              243,               -7,               16
              25,              -58,                3,               -7
             -43,              101,               -3,                7
             -37,               88,               -8,               19
             277,             -661,               18,              -43
            -133,              318,              -18,               43
             -66,              159,               -5,               12
             -53,              129,               -7,               17
              23,              -57,                2,               -5
             -23,               58,               -2,                5
             108,             -277,                7,              -18
              49,             -127,                5,              -13
              26,              -69,                3,               -8
             -44,              118,               -3,                8
              55,             -149,                7,              -19
             -74,              201,              -14,               38
             204,             -556,               22,              -60
              65,             -178,                4,              -11
             -29,               80,               -4,               11
              86,             -240,                5,              -14
             -68,              191,               -5,               14
              35,              -99,                6,              -17
            -107,              304,               -6,               17
            -110,              315,               -7,               20
             -41,              118,               -8,               23
               3,               -9,                1,               -3
              58,             -182,                7,              -22
              37,             -117,                6,              -19
              52,             -166,                5,              -16
             -34,              109,               -5,               16
              67,             -217,                4,              -13
             -31,              101,               -4,               13
             185,             -606,               18,              -59
            -113,              372,               -7,               23
              28,              -93,                3,              -10
             -46,              154,               -3,               10
             -45,              152,               -8,               27
            -151,              512,              -18,               61
             -71,              242,               -5,               17
             -60,              206,               -7,               24
              25,              -87,                2,               -7
             -25,               88,               -2,                7
             115,             -410,                7,              -25
              54,             -194,                5,              -18
              29,             -106,                3,              -11
             -47,              173,               -3,               11
              62,             -230,                7,              -26
             -88,              327,              -14,               52
             226,             -842,               22,              -82
              69,             -258,                4,              -15
             -33,              124,               -4,               15
             -73,              278,               -5,               19
              41,             -157,                6,              -23
            -117,              452,               -7,               27
             -49,              190,               -8,               31
               4,              -16,                1,               -4
              65,             -269,                7,              -29
              43,             -179,                6,              -25
              57,             -239,                5,              -21
             -39,              164,               -5,               21
              71,             -301,                4,              -17
             -35,              149,               -4,               17
             203,             -868,               18,              -77
            -120,              515,               -7,               30
              31,             -134,                3,              -13
             -49,              213,               -3,               13
             -53,              232,               -8,               35
            -169,              742,              -18,               79
             -76,              335,               -5,               22
             -67,              297,               -7,               31
              27,             -121,                2,               -9
             -27,              122,               -2,                9
             122,             -557,                7,              -32
              59,             -271,                5,              -23
              32,             -149,                3,              -14
             -50,              234,               -3,               14
              69,             -325,                7,              -33
             -37,              176,               -4,               19
             -78,              375,               -5,               24
              47,             -227,                6,              -29
            -124,              603,               -7,               34
             -57,              278,               -8,               39
               5,              -25,                1,               -5
              72,             -370,                7,              -36
              49,             -253,                6,              -31
              62,             -322,                5,              -26
             -44,              229,               -5,               26
             -39,              205,               -4,               21
             221,            -1166,               18,              -95
              34,             -181,                3,              -16
             -52,              278,               -3,               16
             -61,              328,               -8,               43
            -187,             1008,              -18,               97
             -81,              438,               -5,               27
             -74,              402,               -7,               38
              29,             -159,                2,              -11
             -29,              160,               -2,               11
              64,             -358,                5,              -28
              35,             -198,                3,              -17
             -53,              301,               -3,               17
              76,             -434,                7,              -40
             -41,              236,               -4,               23
             -83,              482,               -5,               29
              53,             -309,                6,              -35
             -65,              382,               -8,               47
               6,              -36,                1,               -6
              79,             -485,                7,              -43
              55,             -339,                6,              -37
              67,             -415,                5,              -31
             -49,              304,               -5,               31
             -43,              269,               -4,               25
             239,            -1500,               18,             -113
              37,             -234,                3,              -19
             -69,              440,               -8,               51
            -205,             1310,              -18,              115
             -86,              551,               -5,               32
             -81,              521,               -7,               45
              31,             -201,                2,              -13
