               0,                1,                0,                0
             -68,                1,               -1,                0
            2177,              -65,               33,               -1
            1429,              -44,               32,               -1
             409,              -13,               31,               -1
            1157,              -38,               30,               -1
            1089,              -37,               29,               -1
             341,              -12,               28,               -1
             137,               -5,               27,               -1
            1293,              -49,               26,               -1
            1497,              -59,               25,               -1
             341,              -14,               24,               -1
             817,              -35,               23,               -1
            -274,               12,              -46,                2
            5036,             -223,               90,               -4
            1429,              -64,               22,               -1
            -477,               22,              -22,                1
             341,              -16,               21,               -1
            1838,              -89,               41,               -2
            1157,              -57,               20,               -1
            -749,               38,              -20,                1
            1157,              -60,               19,               -1
            -749,               40,              -19,                1
             749,              -41,               18,               -1
              71,               -4,               53,               -3
           -1635,               93,              -53,                3
              69,               -4,               17,               -1
           -1089,               65,              -17,                1
             341,              -21,               16,               -1
            -205,               13,              -16,                1
             137,               -9,               15,               -1
            1975,             -134,               44,               -3
             818,              -56,               29,               -2
             341,              -24,               14,               -1
             -69,                5,              -14,                1
            1705,             -125,               68,               -5
           -2929,              216,              -68,                5
           -1702,              127,              -27,                2
             409,              -31,               13,               -1
            -205,               16,              -13,                1
            -479,               38,              -38,                3
            -546,               44,              -25,                2
             341,              -28,               12,               -1
             684,              -58,               47,               -4
            -480,               41,              -47,                4
             614,              -53,               23,               -2
            -274,               24,              -23,                2
             681,              -61,               11,               -1
            -477,               44,              -11,                1
           -1295,              122,              -32,                3
            -886,               85,              -21,                2
             477,              -47,               10,               -1
             -69,                7,              -10,                1
            3339,             -343,               68,               -7
           -1299,              134,              -68,                7
            1158,             -121,               19,               -2
           -1226,              130,              -19,                2
           -1839,              198,              -28,                3
             137,              -15,                9,               -1
            3542,             -400,               53,               -6
            1977,             -224,               44,               -5
            1976,             -225,               35,               -4
             479,              -55,               26,               -3
             274,              -32,               17,               -2
            -886,              105,              -17,                2
            1499,             -179,               25,               -3
            1772,             -214,               33,               -4
             341,              -42,                8,               -1
            -205,               26,               -8,                1
             547,              -71,               23,               -3
           -1091,              143,              -23,                3
           -1705,              225,              -38,                5
             893,             -118,               68,               -9
             956,             -127,               30,               -4
            -886,              119,              -15,                2
             479,              -65,               22,               -3
            -343,               47,              -22,                3
           -1228,              170,              -29,                4
             341,              -48,                7,               -1
             -69,               10,               -7,                1
             752,             -111,               27,               -4
            1159,             -173,               20,               -3
            3000,             -452,               53,               -8
           -1640,              248,              -53,                8
             478,              -73,               13,               -2
            -342,               53,              -13,                2
             751,             -118,               19,               -3
            -479,               76,              -19,                3
            -548,               88,              -25,                4
           -2594,              419,              -62,               10
             284,              -46,               74,              -12
             341,              -56,                6,               -1
            2458,             -416,               59,              -10
            3545,             -601,               53,               -9
             824,             -140,               47,               -8
            1843,             -314,               41,               -7
            1842,             -315,               35,               -6
             413,              -71,               29,               -5
            1160,             -201,               23,               -4
            -888,              155,              -23,                4
             615,             -108,               17,               -3
            -547,               97,              -17,                3
           -1569,              281,              -28,                5
             410,              -74,               11,               -2
            -546,              100,              -11,                2
           -1571,              290,              -38,                7
             343,              -64,               16,               -3
            -207,               39,              -16,                3
             548,             -104,               21,               -4
            2257,             -431,               68,              -13
           -2393,              458,              -68,               13
              73,              -14,               26,               -5
            -617,              119,              -26,                5
           -1706,              331,              -31,                6
             137,              -27,                5,               -1
             -69,               14,               -5,                1
            1502,             -310,               29,               -6
           -1162,              241,              -29,                6
           -1297,              271,              -24,                5
             820,             -172,               19,               -4
            -956,              202,              -19,                4
            2730,             -580,               47,              -10
            -826,              176,              -47,               10
            -887,              191,              -14,                3
             549,             -119,               23,               -5
            -821,              179,              -23,                5
           -1843,              404,              -32,                7
           -1369,              301,              -41,                9
           -1439,              317,              -50,               11
            1443,             -318,               68,              -15
             140,              -31,               18,               -4
            -478,              107,               -9,                2
             481,             -109,               22,               -5
             824,             -188,               35,               -8
             479,             -110,               13,               -3
            -207,               48,              -13,                3
            1092,             -256,               17,               -4
             -72,               17,              -17,                4
           -2525,              599,              -38,                9
           -1093,              261,              -21,                5
           -1434,              345,              -25,                6
           -1571,              380,              -29,                7
