               0,                1,                0,                0
             -28,                1,               -1,                0
             337,              -25,               13,               -1
            -113,                9,              -13,                1
              57,               -5,               11,               -1
             197,              -19,               10,               -1
             -29,                3,              -10,                1
             255,              -27,               28,               -3
            -535,               58,              -28,                3
            -113,               13,               -9,                1
             141,              -17,                8,               -1
             -85,               11,               -8,                1
              29,               -4,                7,               -1
            -169,               25,               -7,                1
            -198,               31,              -13,                2
            -507,               81,              -19,                3
             -29,                5,               -6,                1
             -62,               11,              -34,                6
             -89,               16,              -28,                5
            -254,               47,              -11,                2
              57,              -11,                5,               -1
             -29,                6,               -5,                1
             142,              -31,                9,               -2
             171,              -39,               13,               -3
              29,               -7,                4,               -1
             -85,               22,               -4,                1
             115,              -31,               11,               -3
             114,              -32,                7,               -2
             -86,               25,               -7,                2
             199,              -59,               10,               -3
             200,              -61,               13,               -4
            -116,               36,              -13,                4
             -89,               28,              -16,                5
            -510,              162,              -19,                6
            -147,               47,              -22,                7
            -184,               59,              -50,               16
             -93,               30,              -28,                9
             -29,               10,               -3,                1
             172,              -62,               11,               -4
             143,              -53,                8,               -3
             -87,               33,               -8,                3
            -173,               67,              -13,                5
            -371,              145,              -18,                7
             -74,               29,              -46,               18
             116,              -46,               10,               -4
             -86,               35,               -5,                2
              59,              -25,                7,               -3
            -143,               62,               -7,                3
             -91,               40,              -16,                7
            -116,               52,               -9,                4
            -201,               92,              -11,                5
              41,              -19,               28,              -13
             406,             -189,               30,              -14
              29,              -14,                2,               -1
             -29,               15,               -2,                1
              43,              -23,               28,              -15
             350,             -188,               26,              -14
             118,              -64,               11,               -6
             145,              -80,                9,               -5
             373,             -209,               16,               -9
              60,              -34,                7,               -4
            -144,               83,               -7,                4
              59,              -35,                5,               -3
             269,             -163,               28,              -17
            -549,              334,              -28,               17
             151,              -92,               18,              -11
             204,             -125,               13,               -8
             145,              -90,                8,               -5
             -89,               56,               -8,                5
            -147,               94,              -11,                7
              58,              -38,                3,               -2
            -116,               78,               -6,                4
            -103,               70,              -28,               19
             491,             -334,               22,              -15
              41,              -28,               19,              -13
             375,             -257,               16,              -11
             261,             -180,               13,               -9
            -177,              123,              -13,                9
             -91,               64,              -10,                7
             117,              -83,                7,               -5
             -89,               64,               -7,                5
            -204,              149,              -11,                8
              31,              -23,                4,               -3
             -87,               66,               -4,                3
            -206,              159,              -13,               10
            -119,               93,               -9,                7
             116,              -92,                5,               -4
             -88,               71,               -5,                4
              65,              -53,               11,               -9
            -466,              382,              -22,               18
            -107,               88,              -28,               23
             145,             -120,                6,               -5
              44,              -37,               19,              -16
             179,             -151,               13,              -11
              34,              -29,                7,               -6
            -174,              150,               -7,                6
             147,             -128,                8,               -7
             -91,               80,               -8,                7
             148,             -131,                9,               -8
            -128,              114,              -18,               16
             650,             -581,               38,              -34
             261,             -234,               10,               -9
             -93,               84,              -10,                9
            -262,              239,              -11,               10
             264,             -243,               13,              -12
             -40,               37,              -13,               12
               1,               -1,                1,               -1
             350,             -376,               13,              -14
            -126,              136,              -13,               14
              68,              -74,               11,              -12
             207,             -227,               10,              -11
             -39,               43,              -10,               11
             283,             -313,               28,              -31
            -563,              624,              -28,               31
            -122,              136,               -9,               10
             149,             -167,                8,               -9
             -93,              105,               -8,                9
              36,              -41,                7,               -8
            -176,              202,               -7,                8
