               0,                1,                0,                0
             -69,                1,               -1,                0
            -278,                8,              -70,                2
            4418,             -129,               68,               -2
            1105,              -33,               33,               -1
            -553,               17,              -33,                1
             346,              -11,               31,               -1
           -1864,               61,              -31,                1
            1795,              -61,               29,               -1
            -829,               29,              -29,                1
            1726,              -63,               27,               -1
            -346,               13,              -27,                1
            1243,              -49,               25,               -1
            1382,              -56,               49,               -2
           -1727,               71,              -49,                2
              70,               -3,               23,               -1
           -1519,               67,              -23,                1
           -3038,              136,              -45,                2
            1451,              -67,               43,               -2
             277,              -13,               21,               -1
            2003,              -97,               41,               -2
            -692,               34,              -41,                2
            2141,             -109,               39,               -2
             829,              -43,               19,               -1
           -1105,               59,              -19,                1
           -1451,               79,              -37,                2
             899,              -51,               35,               -2
            -278,               16,              -35,                2
            1108,              -64,               69,               -4
           -3661,              213,              -69,                4
            -553,               33,              -17,                1
           -1589,               97,              -33,                2
           -2487,              153,              -49,                3
            1590,             -101,               47,               -3
             968,              -62,               31,               -2
             898,              -59,               15,               -1
            3316,             -224,               59,               -4
            -970,               66,              -59,                4
            1037,              -71,               29,               -2
           -1382,               96,              -29,                2
           -2211,              155,              -43,                3
            -278,               20,              -28,                2
            3182,             -231,              110,               -8
            2211,             -161,               41,               -3
            1727,             -127,               27,               -2
           -1796,              134,              -27,                2
             277,              -21,               13,               -1
            -346,               27,              -13,                1
             554,              -44,               25,               -2
            -968,               78,              -25,                2
           -2418,              197,              -37,                3
           -1660,              136,              -49,                4
             625,              -53,               47,               -4
             762,              -65,               35,               -3
             278,              -24,               23,               -2
           -1313,              115,              -23,                2
             346,              -31,               11,               -1
            -553,               51,              -11,                1
             899,              -85,               21,               -2
            -761,               73,              -21,                2
             -72,                7,              -31,                3
           -1246,              122,              -41,                4
           -3041,              299,              -51,                5
            -278,               28,              -20,                2
           -1387,              141,              -69,                7
            1661,             -169,               49,               -5
            2143,             -219,               39,               -4
            1797,             -185,               29,               -3
            1244,             -130,               19,               -2
            -830,               88,              -19,                2
            2488,             -268,               37,               -4
             484,              -53,                9,               -1
            -346,               39,               -9,                1
           -1177,              135,              -35,                4
           -2490,              288,              -52,                6
            -353,               41,              -69,                8
             899,             -105,               17,               -2
            -692,               82,              -17,                2
             762,              -91,               25,               -3
            -141,               17,              -25,                3
            -970,              118,              -33,                4
            -695,               85,              -41,                5
           -1662,              204,              -49,                6
           -2836,              349,              -57,                7
             559,              -71,               55,               -7
             903,             -115,               47,               -6
            2558,             -327,               39,               -5
             280,              -36,               31,               -4
             624,              -81,               23,               -3
            -969,              127,              -23,                3
             899,             -119,               15,               -2
            -968,              130,              -15,                2
           -1247,              169,              -37,                5
             211,              -29,               29,               -4
           -1936,              268,              -29,                4
             277,              -39,                7,               -1
            -278,               40,              -14,                2
            3330,             -483,              124,              -18
            3182,             -462,               55,               -8
           -3596,              524,              -55,                8
            2007,             -293,               41,               -6
             -75,               11,              -41,                6
             901,             -133,               27,               -4
           -1177,              175,              -27,                4
           -1387,              207,              -47,                7
             695,             -105,               33,               -5
             347,              -53,               13,               -2
             -71,               11,              -13,                2
             210,              -33,               19,               -3
            -624,               99,              -19,                3
           -1394,              222,              -88,               14
           -1184,              189,              -69,               11
           -1177,              189,              -25,                4
           -1799,              291,              -31,                5
            -972,              158,              -37,                6
           -1318,              215,              -43,                7
           -5122,              837,              -98,               16
           -3252,              533,              -55,                9
           -3874,              636,              -61,               10
            1873,             -317,               59,              -10
            1044,             -177,               53,               -9
            1595,             -271,               47,               -8
             628,             -107,               41,               -7
             -76,               13,              -41,                7
            1937,             -333,               29,               -5
            1108,             -192,               23,               -4
            -487,               85,              -23,                4
             279,              -49,               17,               -3
            -141,               25,              -17,                3
            1111,             -199,               39,               -7
             554,             -100,               11,               -2
             -71,               13,              -11,                2
            1316,             -243,               27,               -5
            -350,               65,              -27,                5
           -1733,              323,              -43,                8
            -282,               53,              -32,                6
            1676,             -316,              106,              -20
            1732,             -327,               37,               -7
             901,             -171,               21,               -4
           -1177,              225,              -21,                4
            1041,             -201,               31,               -6
           -1938,              376,              -31,                6
             208,              -41,                5,               -1
            -278,               56,              -10,                2
            -773,              157,              -69,               14
            2289,             -465,               59,              -12
            -771,              157,              -59,               12
            2218,             -452,               49,              -10
           -2011,              411,              -49,               10
            2354,             -482,               39,               -8
            -146,               30,              -39,                8
            1938,             -400,               29,               -6
           -1731,              359,              -29,                6
            1182,             -247,               43,               -9
             901,             -189,               19,               -4
            -142,               30,              -19,                4
            1252,             -266,               47,              -10
           -2356,              502,              -47,               10
             701,             -151,               51,              -11
            1112,             -240,               37,               -8
             143,              -31,               23,               -5
           -1454,              317,              -23,                5
             485,             -107,                9,               -2
            -554,              124,               -9,                2
           -1180,              267,              -31,                7
             767,             -175,               35,               -8
             762,             -175,               13,               -3
            -696,              161,              -26,                6
           -1396,              324,              -69,               16
            2011,             -467,               43,              -10
           -1666,              388,              -43,               10
             418,              -98,               17,               -4
            -487,              115,              -17,                4
             695,             -165,               21,               -5
            -557,              133,              -21,                5
            1042,             -251,               29,               -7
           -1939,              469,              -29,                7
            -560,              136,              -33,                8
             -78,               19,              -37,                9
            -217,               53,              -41,               10
            1668,             -408,               49,              -12
           -2496,              612,              -49,               12
           -1462,              359,              -53,               13
           -2843,              699,              -57,               14
           -2913,              717,              -61,               15
             914,             -225,               69,              -17
             278,              -69,                8,               -2
            3811,             -967,               63,              -16
            1878,             -477,               59,              -15
           -1395,              355,              -59,               15
             703,             -179,               51,              -13
            1047,             -267,               47,              -12
            1460,             -373,               43,              -11
           -1667,              427,              -43,               11
            -148,               38,              -39,               10
            1250,             -322,               31,               -8
            1318,             -341,               27,               -7
             903,             -235,               23,               -6
            -696,              182,              -23,                6
            1109,             -291,               19,               -5
            -557,              147,              -19,                5
            -570,              151,              -68,               18
            1682,             -446,               98,              -26
           -1186,              315,              -49,               13
            -142,               38,              -15,                4
           -1046,              281,              -41,               11
            1597,             -431,               37,              -10
             210,              -57,               11,               -3
            -624,              171,              -11,                3
            -298,               82,              -80,               22
            2362,             -651,               58,              -16
           -1802,              498,              -29,                8
           -2221,              615,              -47,               13
            1392,             -388,               43,              -12
            1249,             -349,               25,               -7
            -973,              273,              -25,                7
             416,             -118,                7,               -2
            -278,               80,               -7,                2
           -1954,              566,              -76,               22
            -986,              286,              -69,               20
            -423,              123,              -31,                9
            2634,             -770,               41,              -12
            1040,             -305,               17,               -5
            -695,              205,              -17,                5
           -1388,              412,              -27,                8
           -1253,              373,              -37,               11
           -2636,              786,              -47,               14
           -1397,              417,              -57,               17
            1051,             -317,               53,              -16
            1255,             -379,               43,              -13
            1735,             -525,               33,              -10
             214,              -65,               23,               -7
           -1387,              423,              -23,                7
             349,             -107,               13,               -4
            -625,              193,              -13,                4
           -1734,              539,              -29,                9
           -2222,              692,              -45,               14
            2983,             -935,               51,              -16
             908,             -285,               35,              -11
             765,             -241,               19,               -6
            -834,              264,              -19,                6
           -2221,              705,              -41,               13
              91,              -29,               69,              -22
