               0,                1,                0,                0
             -70,                1,               -1,                0
            2311,              -67,               34,               -1
            -771,               23,              -34,                1
            1331,              -41,               32,               -1
            1541,              -49,               31,               -1
           -1681,               55,              -31,                1
            1471,              -50,               29,               -1
            1051,              -37,               28,               -1
            -911,               33,              -28,                1
             211,               -8,               26,               -1
            1471,              -58,               25,               -1
           -1331,               54,              -25,                1
             -71,                3,              -24,                1
             633,              -27,               70,               -3
           -4273,              184,              -70,                3
            -771,               34,              -23,                1
             491,              -22,               22,               -1
            -911,               42,              -22,                1
            -982,               46,              -43,                2
            -911,               44,              -21,                1
             771,              -38,               20,               -1
            -631,               32,              -20,                1
             771,              -40,               19,               -1
            -281,               15,              -19,                1
           -1892,              103,              -37,                2
             -71,                4,              -18,                1
            1121,              -65,               17,               -1
            -771,               46,              -17,                1
             211,              -13,               16,               -1
            -631,               40,              -16,                1
           -1262,               82,              -31,                2
           -1053,               69,              -46,                3
            -281,               19,              -15,                1
              71,               -5,               14,               -1
            -911,               66,              -14,                1
            1822,             -134,               27,               -2
            2733,             -204,               40,               -3
             211,              -16,               13,               -1
            -141,               11,              -13,                1
             982,              -78,               25,               -2
            -422,               34,              -25,                2
           -1473,              120,              -37,                3
            -354,               29,              -49,                4
             -71,                6,              -12,                1
            1332,             -115,               23,               -2
            -982,               86,              -23,                2
             491,              -44,               11,               -1
            -141,               13,              -11,                1
             772,              -73,               21,               -2
             353,              -34,               31,               -3
              71,               -7,               10,               -1
            -631,               64,              -10,                1
             913,              -94,               29,               -3
             842,              -88,               19,               -2
            -632,               67,              -19,                2
            -353,               38,              -28,                3
            -424,               46,              -37,                4
           -1055,              115,              -46,                5
           -3786,              414,              -55,                6
             -71,                8,               -9,                1
            1193,             -137,               26,               -3
           -1613,              187,              -26,                3
             702,              -82,               17,               -2
            -422,               50,              -17,                2
            1683,             -201,               25,               -3
            -423,               51,              -25,                3
             211,              -26,                8,               -1
             -71,                9,               -8,                1
             779,             -100,               70,               -9
           -4139,              533,              -70,                9
             493,              -64,               23,               -3
           -1053,              138,              -23,                3
             982,             -130,               15,               -2
            1057,             -142,               52,               -7
             705,              -95,               37,               -5
            -915,              124,              -37,                5
             -73,               10,              -22,                3
            -354,               49,              -29,                4
              71,              -10,                7,               -1
            -421,               61,               -7,                1
            -495,               73,              -34,                5
            1333,             -199,               20,               -3
             -73,               11,              -20,                3
              72,              -11,               13,               -2
            -142,               22,              -13,                2
           -1755,              275,              -32,                5
           -3656,              574,             -102,               16
             146,              -23,               38,               -6
            -353,               56,              -19,                3
            1474,             -235,               25,               -4
            -984,              158,              -25,                4
            -915,              148,              -31,                5
            -566,               92,              -37,                6
            -987,              161,              -43,                7
            -428,               70,              -49,                8
           -3789,              621,              -55,                9
           -1200,              197,              -61,               10
             -71,               12,               -6,                1
             285,              -49,               29,               -5
             704,             -122,               23,               -4
            -424,               74,              -23,                4
             353,              -62,               17,               -3
            -423,               75,              -17,                3
